NoRaw	Source	Cause	Ru_verb	Ru_yes_no	Ru_Class	Ru_PP	Ru_N	Russian	Br_yes_no	Br_Class	Br_PP	Br_NP	Belarusian	Uk_yes_no	Uk_Class	Uk_PP	Uk_NP	Ukrainian	Pl_yes_no	Pl_Class	Pl_PP	Pl_NP	Polish	Cz_yes_no	Cz_Class	Cz_PP	Cz_NP	Czech	Sk_yes_no	Sk_Class	Sk_PP	Sk_NP	Slovak	Sl_yes_no	Sl_Class	Sl_PP	Sl_NP	Slovene	Cr_yes_no	Cr_Class	Cr_PP	Cr_NP	Croatian	Sr_yes_no	Sr_Class	Sr_PP	Sr_NP	Serbian	MK_yes_no	Mk_Class	Mk_PP	Mk_NP	Macedonian	Bg_yes_no	Bg_Class	Bg_PP	Bg_NP	Bulgarian	Total	Russian2	Ukrainian2	Polish2	Serbian2	German	Upper Sorbian	Slovak2	Croatian2
308	andricdrina	д	стенать	1	ot	от	боль	46076 И не было ни живых , ни мертвых , чтобы его защитить , лишь в воротах сидел на корточках окаменевший Али - ходжа , приникнув головой к дубовой слеге , стеная от боли и продолжая упорно выискивать новые аргументы против Караманлии .	1	ot	ад	болю	Ні жывых , ні мёртвых не знайшлося , каб уратаваць Алі - хаджу , і ён застыў , укленчыўшы , прытуліўшыся галавою да бервяна , енчыў ад болю і нават у гэтым стане шукаў новыя довады супраць Караманліі .	1	ot	від	болю	Ніхто не обороняв моста , лише на брамі навколішках сидів Алі - ходжа з головою , схиленою до балки , стогнучи від болю і навіть у такому стані ви ­ гадуючи нові докази проти Караманлії .	1	iz	z	bólu	Nie ma żywych ani umarłych , by stanęli w jego obronie , tylko na kapii przykucnął nieruchomy Alihodża z głową przywartą do belki , jęcząc z bólu i w tej pozycji kując nowe dowody przeciwko Karamanlii .	1	INS	INS	bolestí	Nejsou tu živí ani mrtví , aby ho hájili , jen v bráně klečí nehybný Alihodža s hlavou přitisknutou k trámu , sténá bolestí a vymýšlí i v této poloze nové důkazy proti Karamanlijovi .	1	ot	od	bôľu	Nieto ani živých ani mŕtvych , ktorí by ho bránili , len v bráne drepí nehybný hodža Ali s hlavou opretou o trám , stonajúci od bôľu a ešte aj v tej polohe vymýšľajúci nové dôkazy proti Karamanlimu .	1	ot	od	bolečin	Ni bilo ne živih ne mrtvih , da bi ga branili , ko je nepremično čepel na vratih , tiščal glavo k brunu , stokal od bolečin in še v tem položaju izmišljal nove dokaze proti Karamanliji .	0	?	*	?	*	1	ot	od	bola	Ni živih ni mrtvih nema da ga brane , samo na kapiji čuči nepomičan Alihodža sa glavom priljubljenom uz direk , stenjući od bola i smišljajući i u tom položaju nove dokaze protiv Karamanlije .	1	ot	од	болка	Нема ни живи ни мртви да го бранат , еамо на портата клечи неподвижен Алиоџа , а со главата прилепена за дире - кот , стенкајќи од болка и смислувајќи и зо гаа по - ложба нови докази против Караманлија .	1	ot	от	болка	Няма нито живи , нито мъртви да го бранят , само на капията клечи неподвижен Али ходжа с глава , прилепена до дирека , като стене от болка и измисля и в това положение нови доказателства против Караманлията .	10								
309	andricdrina	д	гудеть	1	ot	от	боль	46472 И хотя в голове гудело от боли , ходжа не мог преодолеть врожденного любопытства и не посмотреть , что там такое написано .	1	ot	ад	болю	I хоць у галаве гуло ад болю , хаджа не змог пераадолець сваёй прыроджанай цікаўнасці і пачаў углядацца , што там такое .	1	ot	від	болю	І хоч йому в голові стугоніло від болю , він не міг вга ­ мувати своєї вродженої цікавості і не подивитися на бі ­ лий плакат .	1	iz	z	bólu	białą płachtę papieru . Choć głowa pękała mu z bólu , nie mógł opanować wrodzonej ciekawości , aby nie rzucić okiem na plakat .	1	INS	INS	bolestí	Ač mu v hlavě dunělo bolestí , nedokázal hodža ovládnout svou vrozenou zvědavost a nepodívat se na bílý plakát .	1	ot	od	bôľu	Hoci hodžovi zunelo v hlave od bôľu , nemohol opanovať svoju vrodenú zvedavosť , aby sa nepodíval na biely plagát .	0	?	\		Čeprav mu je v glavi kljuvala bolečina , ni mogel ukrotiti svoje prirojene radovednosti , da ne bi pogledal belega lepaka .	0	?	*	?	*	1	ot	od	bola	Iako mu je u glavi tutnjalo od bola , hodia nije mogao da savlada svoje urođeno ljubopitstvo i da ne pogleda beli plakat .	1	ot	од	болка	Иако во главата му татнеше од болка , оџата не молсеше да си го совлада своето вродено љубопит - ство и да не го погледа белиот плакат .	1	ot	от	болки	Въпреки че главата му бучеше от болки , ходжата не можа да овладее своето вродено любопитство и да не погледне белия плакат .	9								
310	andricdrina	д	озарить	1	ot	от	слова	"46801 Только сейчас , от этих "" императорских слов "" , со всей ясностью озарило его сознание того , что все кончено и с ним , и с его соплеменниками , и со всем , что принадлежало им в этой стране , кончено бесповоротно и навсегда , и при этом необычайно хитрым способом :"	0	?	\пасля	?	"Толькі цяпер , пасля гэтых слоў ,"" царскіх слоў "", раптам дайшло , што канец яму , роду ягонаму , усяму іхняму - канец адразу і назаўсёды , прычым так дзіўна :"	1	iz	з	слів	Тільки тепер з цих слів , « цісарських слів », він зрозумів , що з ним , з усіма близькими і з усім , що є їхнє , раз і назавжди покінчено , але якимось дивним чином : очі бачать , вуста говорять , людина продовжує жити , але життя , справжнього життя вже немає .	1	wplyw	pod wpływem	słów	"Dopiero teraz , pod wpływem tych słów , „ słów cesarskich "" , nagie uświadomił sobie , że skończył się , że skoń - czyli się wszyscy mu bliscy i wszystko , co jest ich , skończyło się raz na zawsze , lecz w jakiś dziwny sposób : oczy patrzą , usta mówią , człowiek żyje , ale życia , prawdziwego życia już nie ma ."	0	?	*		jakousi zvláštní bolest , zcela odlišnou od bolestí , které pociťoval v poraněném uchu , v hlavě a v kříži .	1	ot	od	slov	Až teraz od týchto slov , . cisárskych slov ' , bolo mu zrazu zrejmé , že je koniec s ním , s jeho všetkými aj všetkým .	0	?	\		Šele sedaj mu je iz teh besedi , » cesarskih besedi « , postalo pri priči jasno , da je sedaj končano z njim , z vsemi njegovimi in z vsem , kar je njihovega , končano enkrat za vselej , toda na neki čuden način : oči gledajo , usta govore , človek živi , toda življenja , pravega življenja ni več .	0	?	*	?	*	1	ot	od	reči	"Tek sada , od ovih reči , "" carskih riječi "" , odjednom mu je bilo jasno da je svršeno sa njim , sa svima njegovima i svime što je njihovo , svršeno jednom zauvek , ali na neki čudan način :"	1	ot	од	зборови	"Дури сега , од овие зборови , „ царски збо - рови "" , му стана наеднаш јасно дека е свршено со него . со сите негови и со се што е нивно , свршено еднаш за секогаш , но на некаков чуден начин :"	1	ot	от	думи	"Едва сега , от тия думи , от „ императорските думи "" , изведнъж му стана ясно , че е свършено с него , с всичките му близки и с всичко , което е тяхно , свършено веднъж завинаги , но по някакъв чуден начин :"	7								
313	andricdrina	д	умирать	1	ot	от	страх	49505 Молодой раввин умирал от страха .	1	ot	ад	страху	Малады рабін трымцеў ад страху .	1	ot	від	страху	Молодий рабин завмирав від страху .	1	iz	z	strachu	Młody rabin umierał ze strachu .	1	INS	INS	strachy	Mladý rabín zmíral strachy .	1	INS	INS	strachom	Mladý rabín zmieral strachom .	1	ot	od	strahu	Mladi rabin je bil ves trd od strahu .	0	?	*	?	*	1	ot	od	straha	Mladi rabin je premirao od straha .	1	ot	од	страв	Младиот рабин премираше од страв .	1	ot	от	страх	Младият равин примираше от страх .	10								
315	andricdrina	д	сгорать	1	ot	от	стыд	60122 Старый Гаон сгорал от стыда , изнывал от тоски по своему первенцу , вся еврейская община как личное горе переживала эту беду .	1	ot	ад	сораму	Стары Гаон згараў ад сораму і непакою за сына - першынца , уся яўрэйская абшчына ўспрыняла ягоную бяду як сваю .	1	ot	від	сорому	Старий Гаон згорав від сорому за свого первістка , сумував за ним , і вся єврейська громада переживала це нещастя , як своє власне .	1	iz	z	wstydu	Stary Gaon nikł w oczach ze wstydu i żalu za pierworodnym synem , a cala gmina żydowska odczuwała to nieszczęście jako własne .	1	INS	INS	hanbou	Starý Gaon se vytrácel hanbou a žalem nad prvorozeným synem a celá židovská obec chápala jeho neštěstí jako své vlastní .	1	ot	od	hanby	Starý Gaon hynul od hanby a žiaľu za prvorodeným synom a celá židovská obec cítila toto nešťastie ako svoje .	1	ot	od	sramote	Stari Gaon je sahnel od sramote in žalosti zaradi prvorojenca , vsa židovska soseska pa je to nesrečo imela za svojo lastno .	0	?	*	?	*	1	ot	od	sramote	Stari Gaon je kopneo od sramote i žalosti za prvencem sinom , a sva jevrejska opština je osećala tu nesreću kao svoju .	1	ot	од	срам	Стариот Гаон се топеше од срам и од жал за својот прв син , а целата еврејска општина ја чувству - ваше таа несреќа како своја .	1	ot	от	срам 	Старият Гаон се топеше от срам и мъка по своя първороден син , а цялата еврейска община чувствуваше това нещастие като свое .	10								
316	andricdrina	д	трескаться	1	ot	от	стужа	61781 Здесь он и провел всю зиму , часами топчась на мосту и согревая дыханием пальцы в морозные , безоблачные ночи , когда от стужи трескается камень , высветляется над городом небесный свод и крупные осенние звезды превращаются в мелкие злые огоньки .	1	ot	ад	марозу	Зіму правёў ён у Вышаградзе , на мосце , прытупваючы нагамі і хукаючы на задубелыя пальцы , асабліва начной парою , калі ад марозу нават каменне лопае , купал неба бляднее да празрыстасці , а буйныя восеньскія зоры становяцца дробнымі пякучымі агеньчыкамі .	1	ot	від	морозу	Тут він провів зиму , годинами тупцюючи на брамі і хукаючи на пальці в ясні зимні ночі , коли тріскав від морозу камінь , блідло над містом небо , а великі осінні зорі перетворювалися на дрібні колючі світлячки .	1	iz	z	zimna	Tutaj spędził zimę , często godzinami drepcząc na kapii i chuchając w palce podczas mroźnych , pogodnych nocy , kiedy kamień pęka z zimna , niebo blednie nad kasabą , a gwiazdy jesienne zamieniają się w maleńkie zle świeczki .	1	INS	INS	mrazem 	Strávil tu zimu , často celé hodiny přešlapoval a dýchal si do dlaní v bráně za mrazivých jasných nocí , kdy kámen praská mrazem a nebe nad městečkem vybledne a z velkých podzimních hvězd se stanou drobné a zlověstné svíčičky .	1	ot	od	zimy	Tu prežil zimu , často v bráne celé hodiny prestupoval a dúchal si do prstov za mrazivých jasných nocí , keď kameň od zimy puká a keď nebo nad kasabou zbledne a z veľkých jesenných hviezd sa stanú drobné a škuľavé sviečočky .	1	ot	od	mraza	Tu je prebil zimo in v mrzlih , jasnih nočeh , ko poka kamen od mraza in ko postane nebo nad trgom bledo in se velike jesenske zvezde spremene v drobcene in hudobne svečice , je pogostokrat po cele ure stopical na vratih in si hukal v prste .	0	?	*	?	*	1	ot	od	studeni	Tu je proveo zimu , često satima tapkajući i hučući u prste na kapiji , za mraznih , vedrih noći kad kamen puca od studeni i kad nebo ubledi nad kasabom i od krupnih jesenjih zvezda postanu sitne i zle svećice .	1	ot	од	студ	Тука ја помина зимата , често пати со часови тап - кајќи и ухајќи во прстите на портата , во лутите , ведри - ноќи кога пука каменот од студ и кога небото побле - дува над касабата од крупните есенски ѕвезди стануваат ситни и лоши светулки .	1	ot	от	студ	Тук прекара зимата , като често с часове тропаше с крака и духаше пръсти на капията в ледените , ясни нощи , когато камъкът се пука от студ и когато небето бледнее над градчето , а едрите есенни звезди стават дребни , злн свещици .	10								
318	andricdrina	д	терять голову	1	ot	от	волнение	62924 Поравнявшись с юношей на обратном пути , турчанка замедлила шаг , глядя прямо в глаза солдата , и он пролепетал ей несколько бессвязных слов , ощущая при этом странную слабость в ногах и теряя голову от волнения .	0	?	\	?	Вяртаючыся , дзяўчына амаль прыпынілася побач з штрайфкораўцам , зазірнуўшы яму проста ў вочы , і ён адважыўся на пару слоўцаў , нязначных і бессэнсоўных , забыўшыся пры гэтым , дзе ён і дзеля чаго , адчуваючы толькі , што ногі трасуцца ад узбуджэння .	1	ot	від	хвилювання	Повертаючись , дівчина майже зупинилась , дивлячись у вічі солдатові , і він їй кинув два слова , невиразні й незначні , відчуваючи , що від хвилювання в нього німіють ноги . Він зовсім забув , що стоїть на варті .	1	iz	z	wzruszenia	W drodze powrotnej dziewczyna niemal przystanęła , patrząc prosto w oczy sztrajfkorowi , a on rzucił jej kilka słów niejasnych i bez znaczenia , czując przy tym , że nogi uginają się pod nim ze wzruszenia , i zapominając zupełnie , gdzie się znajduje .	1	INS	INS	vzrušením	Při návratu se dívka málem zastavila a dívala se přitom vojákovi přímo do očí , a on k ní prohodil pár slov , nezřetelných a bezvýznamných , ale cítil přitom , jak mu nohy podklesávají vzrušením , a zapomínal úplně , kde právě stojí .	1	ot	od		Keď sa dievčina vracala , takmer zastala , dívajúc sa vojakovi priamo do očí a on jej mimochodom povedal dve nejasné a bezvýznam né slová , cítiac pritom , ako sa mu od vzrušenia podlamujú nohy a zabudol na miesto , na ktorom sa nachádza .	1	ot	od	razburjenja 	Ko se je dekletce vračalo , je skoraj obstalo na mostu in gledalo naravnost v izvidnikove oči , tako da jo je on ogovoril z dvema nerazločnima in nepomembnima besedama , obenem pa čutil , da mu od razburjenja klecajo noge : kar do kraja je pozabil , kje je .	0	?	*	?	*	1	ot	od	uzbuđenja	Na povratku , devojčica gotovo zastade , gledajući pravo u oči štrajfkoru , i on joj dobaci dve reči , nejasne i beznačajne , osećajući pri tom kako ga noge izdaju od uzbuđenja , i zaboravljajući potpuno mesto na kome je .	1	ot	од	возбуда	На враќање , момичката речиси застана , гле - дајќи му право в очи на штрајфкорот , и тој и потфрли два збора , нејасни и безначајни , чувствувајќи при тоа како го предаваат нозете од возбуда , и заборавајќи го наполно местото на кое се најдува .	1	ot	от	вълнение	На връщане девойчето почти спря , загледало се в очите на щрайфкора , а той му подхвърли две думи , неясни и незначителни , усещайки как краката му се подкосяват от вълнение и забравяйки съвсем мястото , на което беше .	9								
319	andricdrina	д	содрогнуться	1	ot	от	ужас	62948 Когда девушка скрылась за домами на том берегу , парень содрогнулся от ужаса .	1	ot	ад	страху	 -- 1 калі дзяўчына гэтага разу знікла на другім беразе , Фядун ажно сцепануўся ад страху .	1	ot	від	страху	Коли дівчина зникла на другому березі , юнак аж затрусився від страху .	1	iz	z	strachu	Gdy dziewczyna znów zniknęła na przeciwległym brzegu , młodzieniec zadrżał ze strachu .	1	INS	INS	strachem 	Když dívka zase zmizela na druhém břehu , mladík se zachvěl strachem .	1	ot	od	strachu	Keď sa dievča zasa stratilo na druhom brehu , zachvel sa od strachu .	1	ot	od	strahu	Ko je dekleta zmanjkalo na drugem bregu , je mladenič zadrhtel od strahu .	0	?	*	?	*	1	ot	od	straha	Kad se devojka opet izgubila na drugoj obali , mladić je zadrhtao od straha .	1	ot	од	страв	-- Кога девојката се изгуби пак на другиот брег , момчето се потресе од страв .	1	ot	от	страх	Когато девойката пак се изгуби на другия бряг , младежът затрепера от страх .	10								
320	andricdrina	д	дрожать	1	ot	от	возбуждение	"64484 Вот как следует держаться "" , - думал парень , прислушиваясь к голодным корчам своего желудка и дрожа от возбуждения , хотя ему и не вполне еще понятно было , в чем состоит его упущение или вина ."	1	ot	ад	хвалявання	"Вось як трымацца трэба "",- думаў сабе хлопец , у якога ўжо кішкі зводзіла ад голаду і які дрыжаў ад хвалявання , хоць пакуль яшчэ не ўсведамляў , у чым справа і якая на самай справе ягоная прамашка ці віна ."	1	ot	від	збудження	« Так , доведеться відповідати »,— думав собі юнак , у яко ­ го від голоду нило в животі і який тремтів од збудження , хоч все ще не розумів , про що йде мова і в чому саме полягає його помилка або злочин .	1	iz	z	przejęcia	"„ Tak trzeba odpowiadać "" — myślał młody żołnierz , któremu z głodu burczało w brzuchu ; drżał z przejęcia , chociaż wciąż jeszcze nie rozumiał , o co chodzi i na czym właściwie polega jego niedopatrzenie albo wina ."	1	INS	INS	rozčilením	Tak se musí odpovídat , pomyslel si v duchu mladík , kterému kručelo v břiše hlady a který se chvěl rozčilením , ačkoliv mu pořád ještě nebylo jasné , o čem je řeč a v čem vlastně záleží jeho nedbalost nebo vina .	1	ot	od	vzrušenia	„ Takto treba odpovedať , “ myslel si Fedun , ktorému v bruchu škŕkalo od hladu , a chvel sa od vzrušenia , hoci mu ešte stále nebolo jasné , o čo ide a v čom vlastne spočíva tá jeho chyba či vina .	1	ot	od	vznemirjenja	Tako mora človek odgovarjati , je premišljal v sebi mladenič , ki mu je po črevih krulilo od lakote in se je ves tresel od vznemirjenja , čeprav mu še vedno ni bilo jasno , za kaj gre in kaj je pravzaprav storil napak , s čim se je pregrešil .	0	?	*	?	*	1	ot	od	uzbuđenja	Ovako treba odgovarati , mislio je u sebi mladić , kome su creva krčala od gladi i koji je drhtao od uzbuđenja , iako mu još nije bilo jasno o čemu je reč i u čemu je upravo taj njegov propust ili krivica .	1	ot	од	возбуда	Вака треба да се одговара , си мислеше младиот , на кого му кркореа цревата од глад и кој се тресеше од возбуда , иако се уште не му беше јасно што е работава и во што е токмо тој негов пропуст или кривида .	1	ot	от	тревога	"„ Така трябва да се отговаря "" - си мислеше младежът , чиито черва куркаха от глад и който трепереше от тревога , макар още да не му бе ясно за какво става дума и в какво всъщност е неговият пропуск или вина ."	10								
321	andricdrina	д	липкий	1	ot	от	смазки	66533 Потом взял винтовку и загнал в нее тяжелый патрон , липкий от смазки .	1	ot	ад	алею	Потым узяў сваю вінтоўку , заклаў у яе адзін патрон , клейкі ад ружэйнага алею .	1	ot	від	мастила	зняв свою гвинтівку , зарядив її важкою , липкою від рушничного мастила кулею .	1	ot	od	smarów	Następnie zdjął swój karabin , nabił ciężkim , jedynym , lepkim od smarów nabojem .	1	ot	od	mazu	Potom sundal svou pušku , nabil ji jediným těžkým nábojem , celým lepkavým od mazu .	1	ot	od	masti	Sňal pušku , nabil ju ťažkým jediným nábojom , ktorý bol celý lepkavý od masti .	1	radi	zaradi	masti	Nato je snel svojo puško , jo nabasal s težko , edino patrono , ki je bila vsa lepljiva zaradi strojne masti .	0	?	*	?	*	1	ot	od	masti	Onda skide svoju pušku , napuni je teškim jednim metkom koji je bio sav lepljiv od puščane masti .	1	ot	од	масг	После си ја симна пушката , ја наполни со тешкиот , единствен куршум што беше целиот леплив од пушечната масг .	1	ot	от	смазката	Тогава свали своята пушка и я напълни с един - единствен тежък патрон , който лепнеше от смазката .	10								
323	andricdrina	д	раскраснеться	1	ot	от	выпивка	67441 Большинством владело возбуждение , потные лица раскраснелись от выпивки и зноя .	1	ot	ад	пітва	Ды большасць разгарачаныя , чырвоныя ад пітва , спацелыя ад спёкі .	0	?	*		Мало було таких , хто б не пив ; ці сиділи коло своїх речей біля стіни і дрімали .	1	ot	od	alkoholu	Większość była podniecona , zarumieniona od alkoholu i spocona z gorąca .	1	INS	INS	pitím a upocená	Většina je rozčilená , zrudlá pitím a upocená , protože je horký den .	1	ot	od	pijatiky	Málo je tých , ktorí ■ cpijú , a len sedia vedľa svojich vecí pri stene a podriemkavajú . ačšinou sú vzrušení , červení od pijatiky a spotení od horúčavy .	1	ot	od	pijače	Večina je bila razburjena , bili so rdeči od pijače in potni zaradi vročega dne .	0	?	*	?	*	1	ot	od	pića	Većina je uzbudena , rumena od pića i znojna od vrelog dana .	1	ot	од	пиењето	Повеќето се возбудени , румени од пиењето и испотени од жешкиот ден .	1	ot	от	пиене	Повечето са неспокойнн , зачервени от пиене и изпотени от горещия ден .	9								
324	andricdrina	д	бледный	1	ot	от	волнение	67975 Рекруты - горожане , бледные от волнения , стройно затянули песню , на городской манер .	1	ot	ад	узрушанасці	Хлопцы - гараджане , бледныя ад узрушанасці , у невялічкай кампаніі спявалі складна , па - гарадскому :	1	ot	від	хвилювання	Кілька рекрутів з городян , бліді від хвилювання , співали складно , по-міському :	1	iz	z	wzruszenia	Kilku młodych ludzi z kasaby , bladych ze wzruszenia , śpiewało zgodnie , z miejska : Sarajewo i Bośnia , Każda matka żałosna , Która śle w rekruty syna Carowi do Widnia .	1	INS	INS	rozčilením	Těch několik mládenců z městečka , bledých rozčilením , zpívalo svorně po městsku :	1	ot	od	vzrušenia	Niekoľkí mestskí chlapci si , bledí od vzrušenia , svorne spievali po meštiacky :	1	ot	od	vznemirjenja	Tista peščica trških mladeničev , ki so bili vsi bledi od vznemirjenja , je složno pela trško pesem : Sarajevo in Bosna , vsaka mati žalostna , ki pošilja sina carju za novinca Pesem je povzročila še več joka .	0	?	*	?	*	1	ot	od	uzbuđenja	Ono nekoliko građana , bledi od uzbuđenja , pevali su složno , po varoški :	1	ot	од	возбуденост	Оние неколку граѓани , бледи од возбуденост , пееја слолсно , по градски :	1	ot	от	волнение	Неколцината граждани , бледи от вълнение , пееха съгласувано , по градски :	10								
326	andricdrina	д	бледный	1	ot	от	страх	79269 Как бы очнувшись от сна , иные бражники из тех , кто не успел еще пропить последние крохи рассудка , тоже застыли и , бледные от страха , следили за этой жуткой игрой .	0	?	0	?	3 п'янай браціі некаторыя , трохі цверазейшыя ды памяркоўнейшыя , таксама спахапіліся , сталі і з пабялелымі тварамі назіралі за дужа рызыкоўнай гульнёю .	1	ot	від	страху	Дехто навіть з п'яного товариства , ті , хто був тверезіший і розсудливіший , спинилися , наче раптом попрокидались , і , бліді від страху , спостерігали небезпеч ­ ну витівку .	1	iz	z	strachu	Pośród pijanej kompanii niektórzy trzeźwiejsi i przytomniejsi stanęli jakby zbudzeni ze snu i pobladłszy ze strachu , przyglądają się niebez - piecznej zabawie .	1	INS	INS	strachem	I někteří z opilých kumpánů , ti trochu střízlivější a duchapřítomnější , zůstali stát jako probuzení , a bledí strachem , pozorovali nebezpečnou hru .	1	ot	od	strachu	Aj spomedzi opitých niektorí , trochu triezvejší , čo majú ešte rozum , zastali ako vyjavení a bledí od strachu sa dívali na nebezpečnú hru .	1	ot	od	strahu	Celo nekateri iz pijane družbe , ki so bili malce treznejši in razumnejši , so obstali , kakor da so se zbudili in bledi od strahu opazovali nevarno igro .	0	?	*	?	*	1	ot	od	straha	I od pijanog društva neki , malo trezniji i prisebniji , zastadoše kao probuđeni , i bledi od straha posmatraju opasnu igru .	1	ot	од	страв	И од пијаного друштво не - кои , малку потрезвени и поприсебни , застанаа како раз - будени , и бледи од страв ја гледаат опасната игра .	1	ot	от	страх	Някои от пияната група , малко потрезви и по-спокойни , също застанаха като събудени и бледи от страх наблюдаваха опасната игра .	9								
327	andricdrina	д	серый	1	ot	от	пыль	80590 Возвращаясь с работы , серый от каменной пыли и выпачканный красками , мастер Перо прочитал воззвание , вывешенное в воротах , надвинул шляпу на самые глаза и судорожно прикусил мундштук своей трубки , которую никогда не выпускал изо рта .	1	ot	ад	пылу	Калі , вяртаючыся з працы , сівы ад каменнага пылу і запэцканы фарбамі , прачытаў аб'яву на браме , майстар Пэра адразу насунуў капялюш на вочы і сутаргава закусіў тонкую люльку , што нязменна была ў зубах .	1	ot	від	фарб	Коли припорошений кам'яною пилюкою і брудний від фарб , майстер Перо , повертаючись з роботи , прочитав на брамі оголошення , він насунув капелюх на очі й судомно стиснув зубами цибух люльки , яку він завжди тримав у роті .	1	ot	od	pyłu	Gdy wracając z pracy , cały szary od kamiennego pyłu i powalany farbą , mistrz Pero przeczytał obwieszczenie na kapii , nacisnął kapelusz na oczy i kurczowo przygryzł cienką fajeczkę , którą stale trzymał w zębach .	1	ot	od	prachu	Když si při návratu z práce , celý šedivý od kamenného prachu a umazaný od barev , mistr Pero přečetl oznámení v bráně , narazil si klobouk do čela a křečovitě sevřel svou tenkou dýmku , kterou pořád držel v zubech .	1	ot	od	prachu	Keď si majster Pero , vracajúc sa z práce , sivý od prachu a zašpinený od farieb , prečítal vyhlášku na bráne , stiahol klobúk na oči a kŕčovite stisol svoju tenkú fajku , ktorú vždy držal v zuboch .	1	ot	od	prahu	Ko se je mojster Pero ves siv od kamnitega prahu in zapackan z barvami vračal z dela in prebral razglas na vratih , je potisnil klobuk na oči in krčevito stisnil v roki svojo tanko pipico , ki jo je kar naprej držal v zobeh .	0	?	*	?	*	1	ot	od	prašine	Kad je , vraćajući se s posla , siv od kamene prašine i umrljan bojama , majstor Pero pročitao oglas na kapiji , on je nabio šešir na oči i grčevito stisnuo svoju tanku lulu koju je uvek držao u zubima .	1	ot	од	прав	Кога мајстор - Перо , враќајќм се од работа , сив од камениог прав и извалкан од бои , го . прочига огласог на псртата , тој ја наклапуши паларијата на очи и грчевито го стисна своето танко луле што го држеше секогаш во забите .	1	ot	от	прах	Когато на връщане от работа , посивял от каменен прах и оцапан с боя , майстор Перо прочете обявлението на капията , той нахлузи шапката на очите си и нервно стисна тънката лула , която всякога държеше между зъбите си .	10								
328	andricdrina	д	погибнуть	1	ot	от	кинжал	81339 - Вот хоть бы взять нашего земляка Мехмед - пашу , давно уже переселившегося в рай , - продолжал мудерис , указывая на мемориальную доску над извещением , - верой и правдой служил он трем султанам , превзошел своей мудростью Иосифа и благочестием своим и мощью воздвиг мост , на коем мы теперь сидим , но и он погиб от кинжала .	1	ot	ад	нажа	 - Вось хоць бы наш зямляк Мехмед - паша , які даўно ўжо насельнік раю ,- красамоўнічае мудэрыс і паказвае на каменную пліту над абвесткаю . - Ён служыў тром султанам , быў мудрэйшы за Асафа , які гэтыя камяні , што мы абселі , сваёю сілаю і набожнасцю ўзняў , ды загінуў - такі ад нажа .	1	ot	від	ножа	— Ось і наш земляк Мехмед - паша , який вже давно став жителем раю ,— мовив мудерис і показав їм на ка ­ м'яну плиту над плакатом ,— який служив трьом султанам і був мудріший за Асафа і який своєю силою й побожніс ­ тю звів оцей міст , то й він теж загинув від ножа .	1	ot	od	sztyletu	— Ot , na przykład ów nasz rodak Mehmedpasza , który od dawna jest mieszkańcem raju — powiada muderis , wskazując kamienną tablicę nad obwieszczeniem - służył trzem sułta - nom i był mędrszy od Asafa ; ten kamień , gdzie siedzimy , swoją potęgą i pobożnością wzniósł , a też zginął od sztyletu .	1	INS	INS	ranou	"„ Vezměte si toho našeho krajana Mehmedpašu , který už dávno přebývá v ráji , "" říká muderis a ukazuje na kamennou desku nad plakátem . „ Ten sloužil třem sultánům a byl moudřejší než Asaf a dokonce i tenhle kámen , na němž tu teď sedíme , pořídil z vlastní moci a z vlastní zbožnosti , a taky zahynul podobně , ranou dýky ."	0	?	0		Hľa , tento náš krajan , paša Mehmed , ktorý je už v raji , - hovorí muderis a ukazuje na kamennú tabuľu nad plagátom , - ktorý slúžil trom sultánom a bol múdrejší ako Asaf , ktorý aj tento kameň , na ktorom sedíme , dal postaviť zo svojej právomoci a pobožnosti , aj on veru zahynul .	0	?	\		» Tale naš rojak Mehmedpaša , vidite , ki je že zdavnaj v nebesih , « — pravi muderis in kaže s prstom na kamnitno ploščo nad lepakom , — » ki je služil tri sultane in bil modrejši od Asafa in je tudi tale kamen , na katerem sedimo , s svojo močjo in svojo pobožnostjo postavil semkaj , tudi on je bil umorjen s takim nožem .	0	?	*	?	*	1	ot	od	noža 	 - Eto , ovaj naš zemljak Mehmedpaša , koji je odavno rajski stanovnik , - kaže muderis i pokazuje na kamenu ploču iznad plakata , - koji je tri sultana služio i bio mudriji od Asafa , koji je i ovaj kamen na kome sjedimo svojom snagom i svojom pobožnošću podigo , i on je od toga noža poginuo .	1	ot	од	нож	 - Ете , овој наш земјак Мехмедпаша , кој е веќе одамна жител на рајот - вели мудерисот и покажува на камената плоча над плакатот - кој служел три султани и бил помудар од Асафа , кој го подигнал и овој камен на кој седиме со својата сила и со својата наболшост , и тој загинал од тој нож .	1	ot	от	нож	- Ето и нашият велик земляк Мехмед паша , който отдавна обитава рая - казва мюдерисът и сочи каменната плоча над афиша , - дето служи на трима султани и бе по-мъдър от Асафа и дето със своята сила и набожност издигна тоя камък , на който седим , и той загина от същия нож .	8								
